Income,Recency,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,Years_member,total_spend,offsprings,total_purchases,online_purchases,purchases_per_year,income_spent_log,average_spent_per_purchase_log,offline_purchases_log,discount_purchases_log,wine_spend_log,fruits_spend_log,meat_spend_log,fish_spend_log,sweet_spend_log,gold_spend_log,spent_web_visit_log,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD
0.29973414249206215,0.30727179399616056,0,0,0,0,0,0,1,1.0172961242361769,1.5012982976464795,1.6806492019863504,-1.2646182929415224,1.319785413825258,2.117744010534637,1.0804734142099568,2.3336580345549853,1.1740537705842202,-2.310656422182022,-0.5307834509542436,-0.20941878244363515,0.18995495572629909,0.7674356775466815,0.6101011463119429,0.17243654958526872,-0.6232895246499838,0.345166788411097,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.26372173339055593,-0.3835840310899351,0,0,0,0,0,0,0,1.2737216910085998,-1.4203235308312707,-0.9618376286877249,1.3954203730765178,-1.1558242531421694,-0.5169923421288173,-1.097045270436281,-1.1599644191910332,-1.5968410152076131,-0.6332191476167713,1.3902179058019588,-0.143987432666809,-0.18888970063769436,-0.1712321920218925,0.12108870189162527,-0.19991109619704464,1.0711752848123435,-1.0997411257918712,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9434994407384822,-0.7980975261415925,0,0,0,0,0,0,0,0.33349461284304965,0.040487383407604376,0.28295648211408786,-1.2646182929415224,0.7986044313057995,0.45643241870743423,0.8069019043368888,0.1665638651098734,0.5612704236667132,0.5927721694035363,-1.2668720763884693,0.4530669641071851,0.3776885486532301,-0.6818997590663025,1.1483524323783993,-0.4163890198126632,-0.626533392491332,1.1836557320786754,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.2047895511907774,-0.7980975261415925,0,0,0,0,0,0,0,-1.2905339767156276,-1.4203235308312707,-0.9186271522112935,0.06540104006749761,-0.8952337618824403,-1.0848234526166307,-0.8096570176403306,-0.9772048270993738,-1.2318447634828724,0.7854992306499556,0.679141461010181,-1.0981135168873217,0.6403974858663488,1.0715851910024785,1.794591781324452,0.21873669088774558,-0.19693073446145962,-0.8371826800629422,0,0,0,0,0,1,0,0,0,0,1,0,0
0.30713923497652934,1.5508122791511327,0,0,0,0,0,0,0,-1.034108409943205,-1.4203235308312707,-0.3053707745265553,0.06540104006749761,0.5380139400460703,0.08072461627940732,0.7709783727373951,-0.29722183546386105,0.011876678577714803,-0.7927603456326323,0.7945127857747082,-0.1327316608281146,1.1935198848079926,0.3060756895472682,0.6493663626107702,0.37457049088994226,-0.8305639859507269,0.17323652600786676,0,0,0,1,0,0,0,0,0,0,0,0,1
0.5087488497149258,-1.1435254386846403,0,0,0,0,0,0,0,0.1625442349947678,0.040487383407604376,0.18323999793770768,0.06540104006749761,0.9288996769356641,0.3089438185807295,0.9386215202016992,0.24603468798894448,0.42336415008275974,0.41484892912745425,-0.8207438917104979,1.128151683263989,0.28134974333296536,-0.9241238437092094,-1.0584561430230741,0.26226395886887793,-1.009140328093463,0.17323652600786676,0,0,0,0,0,1,0,0,0,0,0,1,0
0.18015384256547295,-0.5217551961071543,0,0,0,0,0,0,0,-0.17935652070179584,1.5012982976464795,-0.02616461883269074,0.06540104006749761,0.7986044313057995,0.45643241870743423,0.5941240633245027,0.13680286854924997,0.26434586305360935,-0.6332191476167713,0.1415782217711889,-0.18440836354624654,1.3639865011352592,0.29261760264504416,0.2842841421309904,0.7724385781825064,-0.7179049329531905,0.3727029844575478,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.8795387793568903,-0.5908407786157638,0,0,0,0,0,0,0,-1.3760091656397686,0.040487383407604376,-0.7258419494702918,0.06540104006749761,-0.6346432706227111,-0.0627274537385663,-0.6420138701760264,-0.5801130140444413,-0.27839725983040337,-0.04553262552913555,0.22937040612503812,0.040474646584119055,0.2923761293959699,0.7183261462351878,-0.7680098634586281,-0.8823012831472707,0.23272102712092063,-0.5436673096977445,0,0,0,1,0,0,0,0,0,0,0,0,1
-1.0277839534169007,-1.0398970649217258,0,0,0,0,0,0,1,-0.4357820874742186,0.040487383407604376,-0.9302607420318711,0.06540104006749761,-1.1558242531421694,0.6186698788468097,-1.1688923336352683,-1.03869725597468,-1.0887754965840588,-0.6332191476167713,-0.08101239606910084,-0.6177304667537702,-1.0176284771831297,2.1083648830054944,-0.015587011395710497,0.40058075742824995,-0.742997191061118,-0.8371826800629422,0,0,0,0,0,1,0,0,0,0,0,0,1
-2.2079645962800782,0.6526997065392084,1,0,0,0,0,0,0,1.6156224467051634,-1.4203235308312707,-0.9252749178230522,1.3954203730765178,-1.6770052356616278,0.6186698788468097,-1.671821776028181,-0.11181172616494604,0.11698163041763089,-3.1342735755390403,2.687935002120233,0.5427465005422876,-1.0176284771831297,-1.056909264923756,-0.7249780467599544,-0.5619572595547965,1.4686748583099616,-1.4325014078065859,0,0,0,0,0,1,0,0,0,0,0,0,1
